LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,Street,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MoSold,SaleCondition,LotShape,Neighborhood,SaleType,LotConfig,LandContour,SalePrice
68.0,50271,9,1981,1987,1,0.0,1810,32,1842,1,1842,0,1842,2,0,1,0,5,1,1981.0,3,894,857,72,0,0,0,0.0,11,1,2,25,1,1,4,385000
60.0,7134,5,1955,1955,1,0.0,384,0,384,1,1360,0,1360,0,1,0,3,6,1,1962.0,2,572,0,50,0,0,0,0.0,2,1,1,13,1,1,2,130000
100.0,10175,6,1964,1964,1,272.0,490,935,1425,1,1425,0,1425,0,2,0,3,7,1,1964.0,2,576,0,0,407,0,0,0.0,7,1,2,13,1,1,1,180500
24.0,2645,8,1999,2000,1,456.0,649,321,970,1,983,756,1739,1,2,1,3,7,0,1999.0,2,480,115,0,0,0,0,0.0,8,2,1,22,1,1,1,172500
89.0,11645,7,2004,2004,1,0.0,0,860,860,1,860,860,1720,0,2,1,3,7,0,2004.0,2,565,0,70,0,0,0,0.0,8,1,2,6,1,2,1,196500
66.0,13682,10,2006,2006,1,1031.0,0,1410,1410,1,1426,1519,2945,0,3,1,3,10,1,2006.0,3,641,192,0,0,0,0,0.0,10,6,3,23,4,6,3,438780
60.0,7200,5,1972,1972,1,0.0,632,148,780,1,780,0,780,0,1,0,2,4,0,1973.0,1,352,196,0,0,0,0,0.0,1,1,1,6,1,1,2,124900
63.0,13072,6,2004,2004,1,0.0,941,217,1158,1,1158,0,1158,1,1,1,3,5,0,2006.0,2,576,0,50,0,0,0,0.0,5,6,1,21,4,1,1,158000
60.0,7200,5,1920,1996,1,0.0,0,530,530,0,581,530,1111,0,1,0,3,6,0,1935.0,1,288,0,0,0,0,0,0.0,3,1,1,10,1,1,1,101000
44.0,6442,8,2006,2006,1,178.0,24,1346,1370,1,1370,0,1370,0,2,0,2,6,1,2006.0,2,484,120,49,0,0,0,0.0,10,1,2,16,1,1,1,202500
50.0,10300,7,1921,1950,1,0.0,0,576,576,1,902,808,1710,0,2,0,3,9,0,1990.0,2,480,12,11,0,0,0,0.0,4,1,2,18,1,1,2,140000
70.04,9375,7,1997,1998,1,573.0,739,318,1057,1,1057,977,2034,1,2,1,3,8,0,1998.0,2,645,576,36,0,0,0,0.0,2,1,1,6,1,1,1,219500
76.0,9591,8,2004,2005,1,344.0,0,1143,1143,1,1143,1330,2473,0,2,1,4,9,1,2004.0,3,852,192,151,0,0,0,0.0,10,1,1,16,1,1,1,317000
70.04,19900,7,1970,1989,1,287.0,912,1035,1947,1,2207,0,2207,1,2,0,3,7,1,1970.0,2,576,301,0,0,0,0,0.0,7,1,1,13,1,1,1,180000
72.0,10665,7,2003,2003,1,167.0,1013,440,1453,1,1479,0,1479,1,2,0,3,7,0,2003.0,2,558,144,29,0,0,0,0.0,6,1,2,6,1,1,1,226000
47.0,4608,4,1945,1950,1,0.0,0,747,747,1,747,0,747,0,1,0,2,4,0,1945.0,1,220,0,0,0,0,0,0.0,6,1,1,18,1,2,1,80000
81.0,15593,7,1953,1953,1,0.0,603,701,1304,1,1304,983,2287,0,2,0,3,7,1,1953.0,2,667,0,21,0,0,0,0.0,7,1,1,5,1,2,1,225000
95.0,13651,7,1973,1973,1,1115.0,1880,343,2223,1,2223,0,2223,1,2,0,3,8,2,1973.0,2,516,300,0,0,0,0,0.0,2,1,2,13,1,1,1,244000
69.0,7599,4,1982,2006,1,0.0,565,280,845,1,845,0,845,1,1,0,2,4,0,1987.0,2,360,0,0,0,0,0,0.0,6,1,1,12,1,2,1,129500
74.0,10141,7,1998,1998,1,40.0,0,832,832,1,885,833,1718,0,2,1,3,7,1,1998.0,2,427,0,94,0,291,0,0.0,12,1,2,9,1,2,1,185000
85.0,10200,5,1954,2003,1,104.0,320,404,1086,1,1086,0,1086,1,1,0,3,6,0,1989.0,2,490,0,0,0,0,0,0.0,5,1,1,13,1,1,1,144900
60.0,5790,3,1915,1950,1,0.0,0,840,840,0,840,765,1605,0,2,0,3,8,0,1915.0,1,379,0,0,0,0,0,0.0,5,1,1,18,1,2,1,107400
21.0,1596,4,1973,1973,1,0.0,462,0,462,1,526,462,988,1,1,0,2,5,0,1973.0,1,297,120,101,0,0,0,0.0,11,1,1,11,1,1,1,91000
70.04,8475,4,1956,1956,1,0.0,228,724,952,1,952,0,952,0,1,0,2,4,0,1956.0,1,283,0,0,0,0,0,0.0,4,1,2,13,1,1,1,135750
50.0,8635,5,1948,2001,1,0.0,336,295,672,1,1072,213,1285,1,1,0,2,6,0,1948.0,1,240,0,0,0,0,0,0.0,1,1,1,4,1,1,1,127000
72.0,10778,4,1968,1968,1,0.0,0,1768,1768,0,1768,0,1768,0,2,0,4,8,0,0.0,0,0,0,0,0,0,0,0.0,4,1,1,20,1,1,1,136500
60.0,10440,5,1910,1981,1,0.0,0,440,440,1,682,548,1230,0,1,1,2,5,0,1966.0,2,440,74,0,0,0,0,0.0,5,1,1,18,1,2,1,110000
100.0,13000,6,1968,1968,1,576.0,448,448,896,1,1182,960,2142,0,2,1,4,8,1,1968.0,1,509,0,72,0,252,0,0.0,6,1,1,13,1,2,1,193500
32.0,4500,6,1998,1998,1,443.0,1201,36,1237,1,1337,0,1337,1,2,0,2,5,0,1998.0,2,405,0,199,0,0,0,0.0,3,1,1,12,1,4,1,153500
78.0,10206,8,2007,2007,1,468.0,33,1530,1563,1,1563,0,1563,0,2,0,3,6,1,2007.0,3,758,144,99,0,0,0,0.0,10,1,1,22,1,1,1,245000
80.0,8892,5,1960,1960,1,66.0,0,1065,1065,1,1065,0,1065,0,1,1,3,6,0,1974.0,2,461,74,0,0,0,0,0.0,7,1,2,13,5,1,1,126500
70.04,8530,7,1995,1996,1,22.0,0,384,384,1,804,670,1474,0,2,1,3,7,1,1995.0,2,400,120,72,0,0,0,0.0,5,1,2,9,1,1,1,168500
121.0,16059,8,1991,1992,1,284.0,0,1288,1288,1,1301,1116,2417,0,2,1,4,9,1,1991.0,2,462,127,82,0,0,0,0.0,4,1,1,14,1,2,1,260000
122.0,11911,6,2005,2005,1,0.0,0,684,684,1,684,876,1560,0,2,1,3,6,1,2005.0,2,400,100,38,0,0,0,0.0,3,1,3,9,1,1,1,174000
40.0,3951,6,2009,2009,1,76.0,0,612,612,1,612,612,1224,0,2,1,2,4,0,2009.0,2,528,0,234,0,0,0,0.0,6,6,1,22,4,2,1,164500
105.0,8470,3,1915,1982,1,0.0,0,1013,1013,0,1013,0,1526,0,1,0,2,6,0,0.0,0,0,0,0,0,0,0,0.0,10,2,2,10,9,2,1,85000
60.0,8070,4,1994,1995,1,0.0,588,402,990,1,990,0,990,1,1,0,3,5,0,0.0,0,0,0,0,0,0,0,0.0,8,1,1,6,1,1,1,123600
60.0,7200,4,1950,1950,1,0.0,0,0,0,1,1040,0,1040,0,1,0,2,4,0,1950.0,2,420,0,29,0,0,0,0.0,7,1,1,13,1,1,1,109900
85.0,8500,5,1961,1961,1,203.0,600,635,1235,1,1235,0,1235,0,1,0,2,6,0,1961.0,2,480,0,0,0,0,0,0.0,12,2,1,13,1,1,1,98600
80.0,13360,5,1921,2006,1,0.0,713,163,876,1,964,0,964,1,1,0,2,5,0,1921.0,2,432,0,0,0,0,0,0.0,8,1,2,7,1,1,3,163500
60.0,7200,6,1910,1998,1,0.0,1046,168,1214,0,1260,1031,2291,0,2,0,4,9,1,1900.0,2,506,0,0,0,99,0,0.0,11,1,1,18,1,2,1,133900
69.0,9337,6,1997,1997,1,0.0,648,176,824,1,905,881,1786,1,2,1,3,7,0,1997.0,2,684,0,162,0,0,0,0.0,5,1,2,6,1,1,1,204750
70.04,9765,6,1993,1993,1,68.0,310,370,680,1,680,790,1470,0,2,1,3,6,1,1993.0,2,420,232,63,0,0,0,0.0,4,1,3,9,1,2,1,185000
78.0,10264,7,1999,1999,1,183.0,1162,426,1588,1,1588,0,1588,0,2,0,3,6,0,1999.0,2,472,158,29,0,0,0,0.0,8,1,2,6,1,1,1,214000
73.0,10921,4,1965,1965,1,48.0,520,440,960,1,960,0,960,1,1,0,3,6,0,1965.0,1,432,120,0,0,0,0,0.0,5,1,1,8,1,1,3,94750
85.0,10625,5,1920,1950,1,0.0,108,350,458,0,835,0,835,0,1,0,2,5,0,1920.0,1,366,0,0,0,0,0,0.0,5,2,1,8,5,2,1,83000
77.0,9320,4,1959,1959,1,0.0,569,381,950,1,1225,0,1225,1,1,1,3,6,0,0.0,0,0,352,0,0,0,0,0.0,1,1,2,13,1,1,1,128950
70.04,10603,6,1977,2001,1,28.0,1200,410,1610,1,1610,0,1610,1,2,0,3,6,2,1977.0,2,480,168,68,0,0,0,0.0,2,1,2,17,1,1,1,205000
77.0,9206,6,1985,1985,1,336.0,0,741,741,1,977,755,1732,0,2,1,3,7,1,1985.0,2,476,192,46,0,0,0,0.0,6,1,1,21,1,1,1,178000
64.0,7018,5,1979,1979,1,0.0,0,0,0,1,1535,0,1535,0,2,0,4,8,0,1979.0,2,410,0,0,0,0,0,0.0,6,4,1,21,1,1,2,118964
94.0,10402,7,2009,2009,1,0.0,0,1226,1226,1,1226,0,1226,0,2,0,3,6,0,2009.0,3,740,0,36,0,0,0,0.0,5,1,2,6,1,2,1,198900
70.04,7758,7,1931,1950,1,600.0,224,816,1040,1,1226,592,1818,0,1,1,4,7,2,1951.0,1,240,0,0,0,184,0,0.0,6,1,1,10,1,2,1,169500
75.0,9375,8,2003,2004,1,768.0,0,1053,1053,1,1053,939,1992,0,2,1,3,9,1,2003.0,2,648,140,45,0,0,0,0.0,8,1,1,22,1,1,1,250000
60.0,10800,4,1885,1995,1,0.0,0,641,641,1,1047,0,1047,0,1,0,2,6,0,1954.0,1,273,0,0,0,0,0,0.0,8,1,1,18,1,1,1,100000
50.0,6000,5,1948,1950,1,0.0,104,516,789,1,789,0,789,0,1,0,2,5,0,1948.0,1,250,0,0,0,0,0,0.0,4,6,1,18,1,1,1,115000
85.0,8500,5,1919,2005,1,0.0,0,793,793,0,997,520,1517,0,2,0,3,7,0,0.0,0,0,0,0,0,0,0,0.0,8,1,1,10,1,2,1,115000
105.0,11751,6,1977,1977,1,480.0,705,1139,1844,1,1844,0,1844,0,2,0,3,7,1,1977.0,2,546,0,122,0,0,0,0.0,1,1,2,17,5,1,1,190000
75.0,9525,6,1954,1972,1,0.0,444,550,994,1,1216,639,1855,0,2,0,4,7,0,1954.0,1,325,182,0,0,0,0,0.0,10,1,1,8,1,1,1,136900
70.04,7750,7,2000,2000,1,0.0,250,134,384,1,774,656,1430,0,2,1,3,7,1,2000.0,2,400,180,0,0,0,0,0.0,4,1,2,9,1,1,1,180000
77.0,9965,7,2007,2007,1,220.0,984,280,1264,1,1282,1414,2696,1,2,1,4,10,1,2007.0,3,792,120,184,0,168,0,0.0,10,6,1,6,4,1,1,383970
70.04,21000,6,1953,1953,1,184.0,35,905,1809,1,2259,0,2259,1,2,0,3,7,2,1953.0,2,450,166,120,0,0,0,0.0,10,2,1,7,5,2,2,217000
61.0,7259,6,1945,2002,1,0.0,774,104,1028,1,1436,884,2320,1,2,1,3,9,1,1945.0,1,180,224,0,0,0,0,0.0,7,1,2,7,1,1,1,259500
34.0,3230,6,1999,1999,1,1129.0,419,310,729,1,729,729,1458,0,2,1,2,5,1,1999.0,2,440,0,32,0,0,0,0.0,6,1,1,22,1,2,1,176000
70.04,11616,5,1962,1962,1,116.0,170,252,1092,1,1092,0,1092,0,1,0,3,6,1,1962.0,1,288,0,20,0,0,0,0.0,9,1,1,20,1,1,1,139000
74.0,8536,5,2006,2007,1,0.0,0,1125,1125,1,1125,0,1125,0,1,1,2,5,0,2007.0,2,430,80,64,0,0,0,0.0,4,6,1,8,4,2,1,155000
90.0,12376,7,1990,1990,1,0.0,1470,203,1673,1,1699,1523,3222,1,3,0,5,11,2,1990.0,3,594,367,0,0,0,0,0.0,5,1,1,21,1,2,1,320000
65.0,8461,6,2005,2006,1,0.0,0,728,728,1,728,728,1456,0,2,1,3,8,1,2005.0,2,390,0,24,0,0,0,0.0,7,6,1,6,4,1,1,163990
70.04,21453,6,1969,1969,1,0.0,938,0,938,1,988,0,988,1,1,0,1,4,2,1969.0,2,540,0,130,130,0,0,0.0,10,1,2,5,1,6,4,180000
50.0,6060,4,1939,1950,1,0.0,0,732,732,1,772,351,1123,0,1,0,3,4,0,1979.0,1,264,0,0,0,0,0,0.0,6,1,1,10,1,1,1,100000
75.0,9464,6,1958,1958,1,135.0,570,510,1080,1,1080,0,1080,0,1,0,3,5,0,1958.0,1,288,0,0,0,130,0,0.0,6,1,1,13,1,2,1,136000
55.0,7892,6,1993,1993,1,0.0,300,899,1199,1,1199,0,1199,0,2,0,2,5,0,1993.0,2,530,0,63,0,0,0,0.0,3,1,1,21,1,1,1,153900
48.0,17043,6,1979,1998,1,0.0,0,1362,1362,1,1586,0,1586,0,2,0,3,7,1,1979.0,2,435,192,0,0,0,0,0.0,1,1,2,17,1,6,1,181000
60.0,6780,6,1935,1982,1,0.0,490,30,520,0,520,0,754,1,1,0,2,5,0,0.0,0,0,53,0,0,0,0,0.0,6,1,1,10,1,1,1,84500
70.04,4928,6,1976,1976,1,0.0,120,958,1078,1,958,0,958,0,2,0,2,5,1,1977.0,2,440,0,205,0,0,0,0.0,2,1,2,15,1,1,1,128000
55.0,4388,5,1930,1950,1,0.0,116,556,672,1,840,0,840,0,1,0,3,5,1,0.0,0,0,0,0,0,0,0,0.0,6,1,2,18,1,1,2,87000
69.0,7590,6,1966,1966,1,266.0,512,148,660,1,660,688,1348,0,1,1,3,6,1,1966.0,2,453,188,108,0,0,0,0.0,7,1,1,13,1,1,1,155000
69.0,8973,5,1958,1991,1,85.0,567,413,1008,1,1053,0,1053,0,1,1,3,6,0,1998.0,2,750,0,80,180,0,0,0.0,7,2,1,13,1,1,1,150000
88.0,14200,7,1966,1966,1,309.0,445,479,924,1,1216,941,2157,0,2,1,4,8,2,1966.0,2,487,105,66,0,0,0,0.0,5,1,1,13,1,2,1,226000
70.04,12224,6,2000,2000,1,40.0,695,297,992,1,1022,1032,2054,1,2,1,3,7,1,2000.0,2,390,24,48,0,0,0,0.0,7,1,2,9,1,2,1,244000
75.0,7388,5,1959,2002,1,0.0,405,658,1063,1,1327,0,1327,1,1,0,3,7,0,1974.0,2,624,0,0,0,0,0,0.0,7,1,1,13,1,2,1,150750
70.04,6853,8,2001,2002,1,136.0,1005,262,1267,1,1296,0,1296,1,2,0,2,6,0,2001.0,2,471,192,25,0,0,0,0.0,6,1,2,24,1,1,1,220000
78.0,10335,5,1968,1993,1,0.0,570,891,1461,1,1721,0,1721,0,2,1,3,7,1,1968.0,2,440,0,96,0,0,0,0.0,7,1,2,20,1,1,1,180000
80.0,10400,7,1970,1970,1,288.0,0,1304,1304,1,1682,0,1682,0,2,0,3,7,1,1970.0,2,530,98,0,0,0,0,0.0,5,1,1,17,1,1,1,174000
70.04,10355,5,1967,1967,1,196.0,695,519,1214,1,1214,0,1214,0,2,0,3,5,1,1967.0,1,318,0,111,0,0,0,0.0,7,1,2,13,1,2,1,143000
82.0,11070,7,1988,1989,1,70.0,0,1907,1907,1,1959,0,1959,0,3,0,5,9,0,1989.0,3,766,0,0,0,0,0,0.0,7,5,1,12,1,1,1,171000
73.0,9066,8,1999,2000,1,320.0,668,336,1004,1,1004,848,1852,0,2,1,3,7,2,1999.0,3,660,224,106,0,0,0,0.0,12,1,2,6,1,1,1,230000
65.0,15426,6,1997,1997,1,0.0,821,107,928,1,928,836,1764,1,2,1,3,7,0,1997.0,2,470,276,99,0,0,0,0.0,8,1,2,6,1,1,1,231500
70.0,10500,4,1971,1971,1,0.0,432,432,864,1,864,0,864,0,1,0,3,5,1,0.0,0,0,0,0,0,0,0,0.0,4,1,1,13,8,4,1,115000
78.0,11645,7,2005,2005,1,0.0,1300,434,1734,1,1734,0,1734,1,2,0,3,7,0,2005.0,2,660,160,24,0,0,0,0.0,1,1,1,6,1,1,1,260000
71.0,8520,5,1952,1952,1,0.0,507,403,910,1,910,475,1385,0,2,0,4,6,0,2000.0,2,720,0,0,0,0,0,0.0,6,1,1,13,1,2,1,166000
78.0,10335,7,1999,1999,1,183.0,679,811,1490,1,1501,0,1501,1,2,0,3,6,0,1999.0,2,577,144,29,0,0,0,0.0,6,1,2,6,1,1,1,204000
70.0,9100,5,1963,1963,1,336.0,1332,396,1728,1,1728,0,1728,1,2,0,6,10,0,1963.0,2,504,0,0,0,0,0,0.0,11,2,1,20,8,1,1,125000
24.0,2522,6,2004,2006,1,50.0,0,970,970,1,970,739,1709,0,2,0,3,7,0,2004.0,2,380,0,40,0,0,0,0.0,4,1,1,8,1,1,1,130000
51.0,6120,5,1931,1993,1,0.0,209,506,715,1,875,0,875,1,1,0,2,5,0,1931.0,1,180,48,0,0,0,0,0.0,11,1,1,4,1,2,1,105000
70.04,9505,7,2001,2001,1,180.0,0,884,884,1,884,1151,2035,0,2,1,3,8,1,2001.0,2,434,144,48,0,0,0,0.0,5,1,2,9,1,6,1,222500
63.0,7500,7,2004,2005,1,120.0,680,400,1080,1,1080,0,1080,1,1,0,3,6,0,0.0,0,0,0,0,0,0,0,0.0,4,1,1,21,1,1,1,141000
70.04,6240,5,1936,1950,1,0.0,0,896,896,1,896,448,1344,0,1,0,3,7,0,1936.0,1,240,200,114,0,0,0,0.0,4,1,1,4,1,1,1,115000
