MSSubClass,MSZoning,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,BsmtFinType1,KitchenQual,Functional,SaleType,SaleCondition,SalePrice
20,6,0,1,3,1,1,1,8,1,1,4,3,1,1,1,94750
30,6,0,1,1,1,2,1,8,1,1,2,3,1,5,2,83000
20,6,0,2,1,1,1,1,13,1,1,2,3,1,1,1,128950
20,6,0,2,1,1,1,1,17,1,1,2,2,1,1,1,205000
60,6,0,1,1,1,1,1,21,1,4,6,2,1,1,1,178000
90,6,0,1,2,1,1,1,21,3,1,7,3,1,1,4,118964
20,6,0,2,1,1,2,1,6,1,1,6,2,1,1,1,198900
50,8,0,1,1,1,2,1,10,1,2,5,3,1,1,1,169500
60,3,0,1,1,1,1,1,22,1,4,6,2,1,1,1,250000
30,8,2,1,1,1,1,1,18,1,1,6,3,1,1,1,100000
20,8,0,1,1,1,1,1,18,1,1,2,3,1,1,6,115000
50,8,0,1,1,1,2,1,10,1,2,6,4,1,1,1,115000
20,6,0,2,1,1,1,1,17,1,1,3,3,1,5,1,190000
50,6,0,1,1,1,1,1,8,1,2,4,3,1,1,1,136900
80,6,0,2,1,1,1,1,9,1,8,1,3,1,1,1,180000
60,6,0,1,1,1,1,1,6,1,4,1,1,1,4,6,383970
20,6,0,1,2,1,2,1,7,1,1,2,2,1,5,2,217000
70,6,0,2,1,1,1,2,7,1,4,2,2,1,1,1,259500
160,3,1,1,1,1,2,1,22,4,4,1,3,1,1,1,176000
20,6,0,1,1,1,1,1,20,1,1,5,3,1,1,1,139000
20,6,0,1,1,1,2,1,8,1,1,6,3,1,4,6,155000
60,6,0,1,1,1,2,1,21,1,4,1,2,1,1,1,320000
60,6,0,1,1,1,1,1,6,1,4,6,2,1,4,6,163990
80,6,0,2,4,1,6,3,5,1,8,2,3,1,1,1,180000
50,8,0,1,1,1,1,1,10,1,2,6,3,1,1,1,100000
20,6,0,1,1,1,2,1,13,1,1,3,3,1,1,1,136000
120,6,0,1,1,1,1,1,21,4,1,1,2,1,1,1,153900
20,6,0,2,1,1,6,1,17,1,1,6,3,1,1,1,181000
190,8,0,1,1,1,1,1,10,2,2,1,3,1,1,1,84500
120,6,0,2,1,1,1,1,15,4,1,2,3,1,1,1,128000
45,8,0,2,2,1,1,1,18,1,3,5,3,1,1,1,87000
60,6,0,1,1,1,1,1,13,1,4,3,3,1,1,1,155000
20,6,0,1,1,1,1,1,13,1,1,4,1,1,1,2,150000
60,6,0,1,1,1,2,1,13,1,4,4,2,1,1,1,226000
60,6,0,2,1,1,2,1,9,1,4,1,2,1,1,1,244000
20,6,0,1,1,1,2,1,13,1,1,4,2,1,1,1,150750
20,6,0,2,1,1,1,1,24,1,1,1,2,1,1,1,220000
20,6,0,2,1,1,1,1,20,1,1,4,3,2,1,1,180000
20,6,0,1,1,1,1,1,17,1,1,6,3,1,1,1,174000
20,6,0,2,1,1,2,1,13,1,1,3,3,1,1,1,143000
90,6,0,1,1,1,1,1,12,3,1,6,3,1,1,5,171000
60,6,0,2,1,1,1,1,6,1,4,1,2,1,1,1,230000
60,6,0,2,1,1,1,1,6,1,4,1,2,1,1,1,231500
20,6,0,1,1,1,4,1,13,1,1,2,3,1,8,1,115000
20,6,0,1,1,1,1,1,6,1,1,1,2,1,1,1,260000
50,6,0,1,1,1,2,1,13,1,2,4,3,1,1,1,166000
20,6,0,2,1,1,1,1,6,1,1,1,2,1,1,1,204000
90,8,0,1,1,1,1,1,20,3,1,4,3,1,8,2,125000
160,8,0,1,1,1,1,1,8,5,4,6,2,5,1,1,130000
30,8,0,1,1,1,2,1,4,1,1,3,3,1,1,1,105000
60,6,0,2,1,1,6,1,9,1,4,6,2,1,1,1,222500
20,6,0,1,1,1,1,1,21,1,1,1,2,1,1,1,141000
50,8,0,1,1,1,1,1,4,1,2,6,3,1,1,1,115000
20,6,0,1,1,1,2,1,6,1,1,3,3,1,1,1,122000
20,6,0,1,1,1,1,1,16,1,1,1,2,1,4,6,372402
60,6,0,2,1,1,6,1,17,1,4,4,3,1,1,1,190000
20,6,0,1,1,1,1,1,5,1,1,3,3,1,1,1,235000
30,8,0,1,1,1,2,1,18,1,1,6,3,1,1,5,125000
50,6,0,1,1,1,2,1,8,1,2,6,3,1,1,1,79000
20,6,0,1,1,1,1,1,13,1,1,7,3,1,1,1,109500
60,6,0,1,1,1,2,1,24,1,4,6,1,1,4,6,269500
60,3,0,1,1,1,2,1,22,1,4,1,2,1,1,1,254900
60,6,0,2,3,1,2,1,9,1,4,1,2,1,4,6,320000
20,6,0,2,1,1,6,1,25,1,1,3,3,1,1,1,162500
60,6,0,2,1,1,1,1,16,1,4,1,1,1,1,1,412500
20,6,0,1,1,1,2,1,16,1,1,3,2,1,4,6,220000
45,6,0,1,1,1,1,1,18,1,3,6,3,1,1,1,103200
40,8,1,1,1,1,2,1,18,1,1,5,2,1,1,1,152000
190,6,0,1,1,1,1,1,8,2,2,2,3,1,1,1,127500
20,6,0,2,1,1,1,1,5,1,1,5,3,1,5,1,190000
60,6,0,1,1,1,1,1,16,1,4,1,1,1,4,6,325624
60,6,0,2,1,1,1,1,9,1,4,6,2,1,1,1,183500
20,6,0,2,1,1,2,1,24,1,1,6,3,1,1,1,228000
50,8,0,2,1,1,1,1,18,1,2,4,3,1,1,1,128500
20,6,0,2,1,1,2,1,13,1,1,3,3,1,1,1,215000
160,6,0,2,1,1,1,1,23,4,4,1,2,1,1,1,239000
20,6,0,2,1,1,1,1,13,1,1,2,3,1,5,1,163000
20,6,0,2,1,1,1,1,24,1,1,2,3,3,1,1,184000
20,6,0,1,1,1,2,1,8,1,1,2,2,1,1,1,243000
60,6,0,2,1,1,2,1,5,1,4,1,3,1,1,1,211000
50,6,0,1,1,1,1,1,20,1,2,2,2,1,1,1,172500
20,6,0,2,1,1,6,1,23,1,1,1,1,1,4,6,501837
30,8,0,1,1,1,1,1,18,1,1,6,3,1,1,1,100000
160,3,0,1,1,1,1,1,22,5,4,1,2,1,1,1,177000
70,6,0,1,1,1,1,1,7,1,4,5,3,1,1,1,200100
20,6,0,1,1,1,1,1,8,1,1,7,3,1,1,1,120000
50,8,0,1,1,1,1,1,18,1,2,6,2,4,1,1,200000
50,6,0,2,1,1,1,1,4,1,2,6,3,1,1,1,127000
75,8,0,3,1,1,1,1,18,1,5,6,1,1,1,1,475000
80,6,0,2,1,1,6,1,12,1,8,1,2,1,1,1,173000
50,6,0,1,1,1,1,1,18,1,2,6,3,3,1,1,135000
90,6,0,1,2,1,1,1,21,3,7,1,3,1,1,4,153337
120,6,0,1,1,1,1,1,23,4,1,1,1,1,1,1,286000
70,6,0,1,2,1,1,2,7,1,4,4,2,5,1,1,315000
60,6,0,2,1,1,6,1,13,1,4,2,2,1,1,1,184000
20,6,0,2,1,1,1,1,6,1,1,1,2,1,1,1,192000
160,8,0,1,1,1,1,1,8,5,4,6,2,5,1,1,130000
20,6,0,2,1,1,1,1,6,1,1,2,3,1,1,1,127000
160,6,0,1,1,1,4,1,15,5,4,2,3,1,1,1,148500
20,6,0,1,1,1,1,1,22,1,1,1,1,1,4,6,311872
75,6,0,1,1,1,2,1,13,1,4,1,2,1,1,2,235000
75,8,0,1,1,1,2,1,18,1,5,6,3,1,1,2,104000
20,6,0,1,1,1,1,1,16,1,1,1,1,1,1,1,274900
20,8,0,1,1,1,2,1,8,1,1,6,3,1,1,1,140000
20,6,0,1,1,1,1,1,12,1,1,2,3,1,1,1,171500
50,6,0,1,1,1,2,1,18,1,2,5,3,2,5,1,112000
120,8,0,1,1,1,1,1,6,4,1,1,2,1,1,1,149000
50,8,2,1,1,1,1,1,18,1,2,5,3,1,1,1,110000
20,6,0,1,1,1,2,1,9,1,1,6,3,1,1,1,180500
20,6,0,2,1,1,6,1,20,1,1,6,3,3,1,1,143900
20,6,0,2,1,1,1,1,13,1,1,2,3,1,1,1,141000
60,6,0,2,4,1,1,2,21,1,4,1,3,1,1,1,277000
20,6,0,1,1,1,1,1,13,1,1,4,3,1,1,1,145000
30,6,0,1,1,1,1,1,8,1,1,4,3,1,1,1,98000
20,6,0,1,1,1,2,1,8,1,1,1,2,1,1,1,186000
60,3,0,1,1,1,1,1,22,1,4,1,2,1,4,6,252678
20,6,0,3,1,1,6,1,6,1,1,2,3,1,1,1,156000
60,6,0,2,1,1,4,1,6,1,4,1,3,1,1,1,161750
20,6,0,2,1,1,1,1,13,1,1,3,2,2,1,1,134450
20,6,0,1,1,1,1,1,6,1,1,1,2,1,1,1,210000
70,8,2,1,1,1,1,1,18,1,4,6,3,1,1,5,107000
50,6,0,2,1,1,2,1,7,1,2,3,2,1,1,1,311500
120,6,0,1,1,1,1,1,1,4,1,1,2,1,4,6,167240
20,6,0,2,1,1,1,1,6,1,1,6,2,1,4,6,204900
60,6,0,2,1,1,1,1,9,1,4,6,2,1,8,1,200000
60,6,0,1,1,1,1,1,17,1,4,2,3,1,1,1,179900
20,6,0,1,1,1,4,1,13,1,1,2,3,1,1,2,97000
20,6,0,1,1,1,1,1,16,1,1,1,1,1,1,1,386250
160,8,0,1,1,1,1,1,3,5,4,6,3,1,5,2,112000
60,6,0,2,1,1,1,1,14,1,4,1,2,1,1,2,290000
160,8,0,1,1,1,1,1,3,5,4,4,3,1,1,1,106000
20,6,0,1,1,1,4,1,20,1,1,2,3,1,1,1,125000
120,6,0,1,1,1,1,1,1,4,1,1,2,1,1,1,192500
20,6,0,1,1,1,1,1,13,1,1,6,3,1,1,1,148000
60,6,0,2,1,1,1,1,14,1,4,1,1,1,1,1,403000
160,8,0,1,1,1,1,1,3,5,4,6,3,1,1,1,94500
20,6,0,1,1,1,2,1,6,1,1,5,3,1,1,1,128200
60,6,0,1,1,1,1,1,9,1,4,1,2,1,1,1,216500
160,8,0,1,1,1,1,1,3,4,4,2,3,1,1,1,89500
20,6,0,1,1,1,4,1,6,1,1,1,2,1,1,1,185500
60,6,0,2,1,1,6,1,21,1,4,3,2,1,1,1,194500
20,6,0,1,1,1,1,1,16,1,1,6,2,1,4,6,318000
50,6,0,1,1,1,1,1,8,1,2,5,3,1,1,1,113000
20,3,0,1,1,1,1,1,22,1,1,1,2,1,1,1,262500
30,8,0,1,1,1,1,1,18,1,1,2,2,1,1,1,110500
50,8,0,1,1,1,2,1,18,1,2,6,3,1,1,1,79000
160,6,0,1,1,1,2,1,21,4,4,6,3,1,1,1,120000
60,6,0,2,1,1,1,1,21,1,4,1,2,1,1,1,205000
20,6,0,1,1,1,1,1,17,1,1,1,3,1,1,1,241500
190,8,2,1,1,1,1,1,18,2,4,6,4,1,1,1,137000
20,6,0,1,1,1,1,1,13,1,1,6,3,1,1,1,140000
60,6,0,1,1,1,1,1,6,1,4,6,2,1,1,1,180000
50,6,0,3,4,1,6,3,5,1,2,4,2,1,1,1,277000
30,6,0,2,1,1,1,1,4,1,1,6,4,4,1,1,76500
120,8,0,2,3,1,1,2,7,4,1,1,2,1,1,5,235000
60,6,0,2,1,1,1,1,21,1,4,6,2,1,1,1,173000
80,6,0,1,1,1,1,1,13,1,8,5,2,2,2,1,158000
20,6,0,1,1,1,1,1,13,1,1,4,3,1,1,1,145000
60,6,0,2,1,1,1,1,9,1,4,6,2,1,1,1,230000
60,3,0,2,1,1,1,1,22,1,4,4,2,1,1,1,207500
20,6,0,1,1,1,1,1,6,1,1,1,2,1,1,2,220000
60,6,0,1,1,1,1,1,6,1,4,1,2,1,1,1,231500
20,8,0,1,1,1,1,1,18,1,1,7,3,1,1,1,97000
80,6,0,1,1,1,2,1,13,1,8,4,3,1,1,1,176000
60,6,0,2,1,1,1,1,6,1,4,6,1,1,4,6,276000
80,6,0,2,1,1,2,1,20,1,8,2,3,1,1,1,151000
50,8,0,1,1,1,2,1,18,1,2,5,3,1,1,1,130000
30,8,2,4,2,1,1,1,18,1,1,6,3,1,1,1,73000
20,6,0,2,1,1,1,1,17,1,1,1,2,1,1,1,175500
60,6,0,2,3,1,4,1,9,1,4,1,3,1,1,1,185000
75,6,0,1,2,1,1,2,19,1,5,5,2,1,1,1,179500
30,8,0,1,1,1,1,1,10,1,1,2,3,1,1,1,120500
20,6,0,2,1,1,2,1,8,1,1,3,3,1,1,1,148000
60,3,0,1,1,1,1,1,22,1,4,6,2,1,4,6,266000
20,6,0,2,4,1,6,3,5,1,1,5,3,4,1,1,241500
60,6,0,2,1,1,6,1,14,1,4,1,2,1,1,1,290000
20,6,0,1,1,1,1,1,13,1,1,4,3,2,1,1,139000
20,6,0,1,1,1,2,1,12,1,1,2,3,1,1,1,124500
50,6,0,1,1,1,1,1,4,1,2,6,1,1,1,1,205000
20,6,0,2,1,1,1,1,12,1,1,6,2,1,1,1,201000
20,6,0,1,1,1,2,1,9,1,1,5,3,1,1,1,141000
20,6,0,1,1,1,1,1,16,1,1,6,1,1,4,6,415298
60,6,0,1,1,1,1,1,5,1,4,3,3,1,1,1,192000
60,6,0,1,1,1,1,1,21,1,4,1,2,1,1,1,228500
20,3,1,1,1,1,1,1,22,1,1,1,2,1,4,6,185000
120,6,0,1,1,1,1,1,16,5,1,1,2,1,7,1,207500
20,6,0,1,1,1,1,1,22,1,1,6,2,1,4,6,244600
120,6,0,1,1,1,1,1,21,4,1,1,2,1,1,1,179200
160,3,1,2,1,1,1,1,22,4,4,6,2,1,4,6,164700
50,6,0,2,2,1,1,1,13,1,2,4,2,1,1,1,159000
20,6,0,2,1,1,2,1,13,1,1,3,3,1,1,1,88000
20,6,0,2,1,1,1,1,20,1,1,3,3,1,1,1,122000
70,6,0,1,1,1,1,1,4,1,4,6,3,1,1,1,153575
60,6,0,1,1,1,1,1,6,1,4,6,2,1,4,6,233230
190,6,2,1,2,1,1,1,19,2,4,4,4,1,1,1,135900
50,6,0,1,1,1,1,1,8,1,2,5,3,3,1,1,131000
60,6,0,2,1,1,2,1,17,1,4,2,2,1,1,1,235000
20,6,0,1,1,1,1,1,13,1,1,1,3,1,1,1,167000
80,6,0,2,1,1,6,1,12,1,8,1,3,1,1,1,142500
50,8,0,1,1,1,1,1,10,1,2,3,3,1,1,1,152000
60,3,1,2,1,1,1,1,22,1,4,3,2,1,1,1,239000
60,6,0,1,1,1,1,1,17,1,4,2,3,1,1,1,175000
20,6,0,1,1,1,1,1,7,1,1,6,2,1,1,5,158500
190,6,0,1,1,1,2,1,7,2,1,3,3,1,1,1,157000
60,6,0,4,1,1,1,1,6,1,4,1,2,1,1,1,267000
20,6,0,2,1,1,2,1,6,1,1,6,2,1,1,1,205000
20,6,0,1,1,1,2,1,6,1,1,2,3,1,1,2,149900
75,8,0,1,1,1,1,1,18,1,5,6,2,1,1,1,295000
20,6,0,1,1,1,1,1,6,1,1,1,2,1,1,1,305900
60,6,0,1,1,1,1,1,21,1,4,2,2,1,1,1,225000
50,8,2,2,1,1,1,1,10,1,2,6,4,1,1,1,89500
30,6,0,2,1,1,1,1,8,1,1,3,3,1,1,1,82500
20,6,0,2,1,1,1,1,16,1,1,1,1,1,1,1,360000
60,6,0,2,1,1,1,1,9,1,4,2,2,1,1,1,165600
20,6,0,1,1,1,1,1,13,1,1,2,3,1,1,1,132000
190,8,0,1,1,1,1,1,18,2,2,4,3,1,1,1,119900
20,6,0,4,4,1,1,3,24,1,1,2,3,1,1,1,375000
70,8,2,1,1,1,1,1,18,1,4,5,1,1,1,1,178000
60,6,0,2,1,1,1,1,9,1,4,1,2,1,1,1,188500
60,6,0,2,1,1,2,1,17,1,4,1,1,1,1,1,260000
60,3,0,1,1,1,1,1,22,1,4,6,2,1,1,1,270000
60,6,0,1,4,1,1,2,14,1,4,1,2,1,1,1,260000
80,6,0,1,1,1,1,1,17,1,8,1,3,1,1,1,187500
60,6,0,1,1,1,2,1,16,1,4,6,2,1,4,6,342643
60,6,0,2,1,1,1,1,16,1,4,1,2,1,1,1,354000
60,6,0,2,1,1,1,1,21,1,4,5,2,1,1,1,301000
20,8,0,1,1,1,1,1,18,1,1,2,3,1,1,1,126175
80,6,0,1,1,1,2,1,13,1,8,6,2,1,1,1,242000
45,8,0,1,1,1,1,1,10,1,3,3,3,1,1,1,87000
120,6,0,2,1,1,6,1,25,4,1,1,2,1,6,1,324000
20,6,0,1,1,1,1,1,13,1,1,4,3,1,1,1,145250
75,6,1,2,2,1,1,1,4,1,6,6,2,1,1,1,214500
70,8,0,1,1,1,2,1,10,1,4,6,3,1,1,1,78000
90,6,0,2,1,1,1,1,13,3,1,1,3,1,1,1,119000
20,6,0,1,1,1,1,1,13,1,1,4,3,1,1,1,139000
20,6,0,2,1,1,1,1,16,1,1,1,2,1,1,1,284000
120,8,0,1,1,1,5,1,16,4,1,1,2,1,1,1,207000
60,6,0,2,1,1,1,1,9,1,4,1,3,1,1,1,192000
190,6,0,2,3,1,2,3,24,2,2,2,3,1,1,1,228950
20,6,0,2,3,1,2,1,23,1,1,1,2,1,1,1,377426
20,6,0,1,1,1,1,1,6,1,1,1,2,1,1,1,214000
20,6,0,1,1,1,2,1,17,1,1,2,2,1,1,1,202500
20,6,0,2,1,1,1,1,13,1,1,4,3,1,1,1,155000
60,6,0,1,1,1,1,1,24,1,4,6,2,1,1,1,202900
20,5,0,1,1,1,1,1,21,1,1,6,3,1,1,1,82000
90,6,0,1,1,1,1,1,13,3,1,7,3,1,1,1,87500
120,6,0,2,1,1,1,1,16,4,1,1,1,1,1,1,266000
160,8,0,1,1,1,1,1,11,4,4,4,3,1,1,1,85000
50,6,0,1,1,1,1,1,4,1,2,6,4,1,1,1,140200
20,6,0,2,1,1,6,1,13,1,1,3,3,1,1,1,151500
20,6,0,2,1,1,1,1,13,1,1,3,3,1,1,1,157500
160,6,0,1,1,1,1,1,16,5,4,1,2,1,1,1,154000
60,6,0,3,1,1,1,1,16,1,4,1,1,1,4,6,437154
120,6,0,2,1,1,1,1,16,4,1,6,1,1,4,6,318061
120,6,0,2,4,1,1,2,5,1,1,1,2,1,1,2,190000
50,6,0,1,1,1,1,1,8,1,2,5,3,1,7,1,95000
30,8,0,1,1,1,1,1,18,1,1,6,3,1,1,1,105900
50,6,0,1,2,1,1,1,19,1,2,5,3,1,1,1,140000
20,6,0,3,1,1,1,1,6,1,1,2,2,1,1,1,177500
20,6,0,2,1,1,1,1,9,1,1,1,2,1,1,1,173000
120,8,0,1,1,1,1,1,11,4,1,2,3,1,1,1,134000
80,6,0,2,1,1,1,1,5,1,8,3,2,3,1,2,130000
60,6,0,2,1,1,6,1,14,1,4,1,2,1,1,1,280000
85,6,0,2,1,1,6,1,12,1,7,1,3,1,1,1,156000
50,6,1,1,1,1,1,1,4,1,2,4,3,1,1,1,145000
85,6,0,1,1,1,2,1,8,1,7,7,2,1,9,1,198500
160,8,0,1,1,1,1,1,3,5,4,2,2,1,1,1,118000
60,6,0,2,1,1,4,1,17,1,4,1,3,1,1,1,190000
70,8,0,1,1,1,1,1,10,1,4,4,3,1,1,1,147000
20,6,0,2,1,1,1,1,13,1,1,3,3,1,1,1,159000
80,6,0,2,1,1,2,1,13,1,8,1,3,1,1,1,165000
20,6,0,1,1,1,1,1,13,1,1,5,3,1,1,1,132000
20,6,0,2,1,1,2,1,13,1,1,2,2,1,1,1,162000
60,6,0,2,1,1,1,1,9,1,4,6,3,1,1,1,172400
50,6,0,1,1,1,1,1,5,1,2,7,3,3,1,1,134432
120,6,0,1,1,1,1,1,21,4,1,2,3,1,1,1,125000
20,6,0,1,1,1,1,1,13,1,1,3,3,3,1,1,123000
60,6,0,1,1,1,1,1,6,1,4,6,2,1,1,1,219500
30,6,0,2,4,1,1,3,8,1,1,3,4,5,1,1,61000
85,6,0,2,1,1,6,1,6,1,7,1,3,1,1,1,148000
60,3,0,2,1,1,2,1,22,1,4,6,2,1,1,1,340000
20,6,0,1,1,1,2,1,23,1,1,1,1,1,4,6,394432
60,6,0,2,1,1,1,1,9,1,4,6,3,1,1,1,179000
50,6,1,1,1,1,1,1,19,1,2,5,2,1,1,1,127000
20,3,1,1,1,1,1,1,22,1,1,6,2,1,4,6,187750
60,6,0,2,1,1,1,1,6,1,4,6,2,1,1,1,213500
45,5,0,1,1,1,2,1,21,1,3,6,3,1,1,1,76000
60,6,0,3,4,1,2,2,5,1,4,1,2,1,1,1,240000
120,6,0,1,1,1,1,1,1,4,1,1,2,1,1,1,192000
50,6,0,1,1,1,4,1,8,1,2,6,3,1,1,3,81000
80,6,0,1,1,1,1,1,8,1,8,2,3,1,1,2,125000
20,6,0,2,1,1,6,1,6,1,1,6,2,1,1,1,191000
60,6,0,1,1,1,1,1,16,1,4,1,1,1,4,6,426000
50,6,2,1,1,1,1,1,8,1,2,4,3,1,1,1,119000
60,6,0,2,1,1,6,1,12,1,4,2,2,1,1,1,215000
20,6,0,2,1,1,1,1,13,1,1,7,3,1,1,1,106500
30,6,0,1,1,1,2,1,4,1,1,4,3,1,1,2,100000
